date,Electric
20210801,2043.99
20210802,2252.03
20210803,2256.95
20210804,2289.71
20210805,2195.93
20210806,2168.9
20210807,2064.062
20210808,2056.69
20210809,2186.51
20210810,2217.638
20210811,2083.31
20210812,2114.025
20210813,2115.66
20210814,1998.126
20210815,2035.804
20210816,2258.59
20210817,2263.506
20210818,2220.095
20210819,2234.429
20210820,2204.94
20210821,2009.184
20210822,2011.23
20210823,2295.85
20210824,2300.77
20210825,2295.85
20210826,2331.489
20210827,2199.618
20210828,2025.9751
20210829,1987.4787
20210830,2233.2
20210831,2263.915
20210901,2227.46
20210902,2134.5
20210903,2199.2
20210904,2010.003
20210905,1976.42
20210906,2027.203
20210907,2292.58
20210908,2256.544
20210909,2314.69
20210910,2283.98
20210911,2116.892
20210912,2136.959
20210913,2312.65
20210914,2311.421
20210915,2286.03
20210916,2282.75
20210917,2430.596
20210918,2166.446
20210919,2250.4
20210920,2365.071
20210921,2329.031
20210922,2308.1455
20210923,2342.956
20210924,2329.851
20210925,2262.27
20210926,2272.92
20210927,2436.73
20210928,2421.996
20210929,2326.165
20210930,2335.99
20211001,2407.6628
20211002,2140.235
20211003,2208.218
20211004,2458.445
20211005,2378.995
20211006,2340.498
20211007,2335.5845
20211008,2336.8131
20211009,2175.865
20211010,2261.868
20211011,2337.6322
20211012,2389.643
20211013,2343.775
20211014,2425.68
20211015,2344.18
20211016,2236.06
20211017,2312.24
20211018,2571.477
20211019,2582.125
20211020,2573.9345
20211021,2550.181
20211022,2471.96
20211023,2315.9267
20211024,2375.3095
20211025,2534.2095
20211026,2467.0456
20211027,2441.244
20211028,2807.3701
20211029,2641.098
20211030,2652.975
20211031,2657.07
20211101,2781.1598
20211102,2679.185
20211103,2631.269
20211104,2813.1036
20211105,2998.623
20211106,3051.4536
20211107,3220.1825
20211108,3191.515
20211109,3010.0905
20211110,3064.149
20211111,2759.863
20211112,2738.97761
20211113,2715.224
20211114,2900.334
20211115,3199.2961
20211116,3099.3693
20211117,3062.511
20211118,2901.5634
20211119,2838.085
20211120,2780.7502
20211121,2686.966
20211122,2829.894
20211123,3297.5848
20211124,3274.6508
20211125,2779.9312
20211126,2831.9422
20211127,3147.2851
20211128,3316.4235
20211129,3187.4196
20211130,3409.7977
20211201,2998.623508
20211202,3057.5967
20211203,3046.1297
20211204,2931.869
20211205,2801.6366
20211206,2740.6157
20211207,2715.2245
20211208,2726.6915
20211209,2610.7928
20211210,2695.5667
20211211,2505.132
20211212,2509.637
20211213,2608.745
20211214,2784.0265
20211215,2738.977
20211216,2648.4701
20211217,2569.0201
20211218,2482.6079
20211219,2450.6641
20211220,2687.785
20211221,2965.451
20211222,3363.929
20211223,3386.863
20211224,3021.967
20211225,2845.457
20211226,2772.559
20211227,2817.6
20211228,2741.4348
20211229,2691.0618
20211230,2738.568
20211231,2682.052
20220101,2515.37
20220102,2566.562
20220103,2773.788
20220104,3141.14
20220105,3048.996
20220106,2992.88
20220107,2918.76
20220108,2829.894
20220109,2818.01
20220110,2938.83
20220111,3171.857
20220112,3127.62
20220113,2958.488
20220114,3358.19
20220115,3207.077
20220116,3070.29
20220117,3435.189
20220118,3843.49
20220119,3486.79
20220120,3066.6
20220121,2902.38
20220122,3599
20220123,4017.958
20220124,4146.9628
20220125,4176.039
20220126,3861.1066
20220127,3333.624
20220128,3537.98
20220129,4100.2756
20220130,4388.589
20220131,4002.806
20220201,3562.145
20220202,3047.35
20220203,2781.1598
20220204,2562.87
20220205,2930.64
20220206,3137.046
20220207,3267.688
20220208,3862.335
20220209,3563.78
20220210,3487.609
20220211,3132.132
20220212,2701.3
20220213,2859.38
20220214,3569.516
20220215,3460.17
20220216,2927.773
20220217,2745.1206
20220218,2563.696
20220219,2468.27
20220220,2590.315
20220221,2726.69
20220222,2544.447
20220223,2520.285
20220224,2514.961
20220225,2298.316
20220226,2179.141
20220227,2236.886
20220228,2556.324
20220229,2699.66
20220301,2614.888
20220302,2542.8097
20220303,2353.194
20220304,2214.77
20220305,2229.51
20220306,2444.52
20220307,2306.5
20220308,2383.909
20220309,2587.44
20220310,2461.721
20220311,2745.1206
20220312,3354.1
20220313,2920.402
20220314,2480.1507
20220315,2721.777
20220316,2501.856
20220317,2467.0456
20220318,2168.49376
20220319,2202.89
20220320,2548.1337
20220321,2381.45
20220322,2248.7628
20220323,2434.692
20220324,2434.692
20220325,2403.977
20220326,2433.87
20220327,2367.118
20220328,2224.19
20220329,2291.764
20220330,2311.421
20220331,2427.73
20220401,2510.456
20220402,2560.01
20220403,2504.722
20220404,2218.457
20220405,2176.274978
20220406,2369.98556
20220407,2473.598
20220408,2448.206
20220409,2677.5471
20220410,2532.9809
20220411,2334.7654
20220412,2255.7249
20220413,2255.7249
20220414,2145.969
20220415,2178.7321
20220416,2158.2553
20220417,2150.064
20220418,2313.879
20220419,2384.7288
20220420,2364.252
20220421,2319.6126
20220422,2268.4205
20220423,2173.4082
20220424,2221.7334
20220425,2278.659
20220426,2198.389
20220427,2290.126
20220428,2239.753
20220429,2239.753
20220430,2135.3213
20220501,2250.810546
20220502,2313.06004
20220503,2141.0548
20220504,2141.0548
20220505,2030.48
20220506,1837.9981
20220507,1824.483
20220508,2193.4754
20220509,1471.4633
20220510,2163.5793
20220511,2216.4095
20220512,2125.902
20220513,2033.34685
20220514,1996.898
20220515,2105.01
20220516,2097.2344
20220517,2132.4546
20220518,2047.6806
20220519,2127.1306
20220520,2126.311
20220521,2085.3579
20220522,2106.65
20220523,2123.035
20220524,2146.3788
20220525,2057.0999
20220526,2046.452
20220527,1839.63627
20220528,1873.627
20220529,1897.7903
20220530,2073.48139
20220531,2165.2174
20220601,2021.0607
20220602,2092.72958
20220603,2083.31024
20220604,1972.325
20220605,2198.799
20220606,2094.77
20220607,2211.495
20220608,2016.965
20220609,1915.809
20220610,1842.91255
20220611,1815.064
20220612,1983.38343
20220613,1944.4775
20220614,1990.75508
20220615,2096.00589
20220616,1995.6695
20220617,1875.675
20220618,1950.62
20220619,2084.5388
20220620,2032.527
20220621,1976.011
20220622,1913.7623
20220623,1978.469
20220624,1790.9014
20220625,1771.65
20220626,1974.7832
20220627,2027.6133
20220628,2304.05026
20220629,2240.162
20220630,2067.3383
20220631,2016.14633
20220701,2004.6793
20220702,1927.68
20220703,1972.735
20220704,2008.3651
20220705,1869.122
20220706,1871.9896
20220707,1773.2914
20220708,1801.549
20220709,1897.79037
20220710,1892.875
20220711,1978.059
20220712,1957.992
20220713,1933.829
